"month","total_revenue","total_orders"
"2016-09-01 00:00:00","134.97","1"
"2016-10-01 00:00:00","40325.11","265"
"2016-12-01 00:00:00","10.90","1"
"2017-01-01 00:00:00","111798.36","750"
"2017-02-01 00:00:00","234223.40","1653"
"2017-03-01 00:00:00","359198.85","2546"
"2017-04-01 00:00:00","340669.68","2303"
"2017-05-01 00:00:00","489338.25","3546"
"2017-06-01 00:00:00","421923.37","3135"
"2017-07-01 00:00:00","481604.52","3872"
"2017-08-01 00:00:00","554699.70","4193"
"2017-09-01 00:00:00","607399.67","4150"
"2017-10-01 00:00:00","648247.65","4478"
"2017-11-01 00:00:00","987765.37","7289"
"2017-12-01 00:00:00","726033.19","5513"
"2018-01-01 00:00:00","924645.00","7069"
"2018-02-01 00:00:00","826437.13","6555"
"2018-03-01 00:00:00","953356.25","7003"
"2018-04-01 00:00:00","973534.09","6798"
"2018-05-01 00:00:00","977544.69","6749"
"2018-06-01 00:00:00","856077.86","6099"
"2018-07-01 00:00:00","867953.46","6159"
"2018-08-01 00:00:00","838576.64","6351"
